Model,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,Overfitting_Gap,Training_Time
Random Forest,1.0,0.9965635738831615,0.9966617574864997,0.9965635738831615,0.9965485170784704,0.0034364261168384758,0.444896
Decision Tree,1.0,0.9896907216494846,0.9898854071870657,0.9896907216494846,0.9897283342736488,0.010309278350515427,0.015941
Logistic Regression,0.9985228951255539,0.9896907216494846,0.9897234495172639,0.9896907216494846,0.9896455512354108,0.00883217347606935,6.190674
Gradient Boosting,1.0,0.9896907216494846,0.990160660263753,0.9896907216494846,0.9896211463221771,0.010309278350515427,5.633252
XGBoost,1.0,0.9896907216494846,0.99052660908331,0.9896907216494846,0.9895313545846361,0.010309278350515427,0.232519
Support Vector Machine,0.9911373707533235,0.9862542955326461,0.9863880947568031,0.9862542955326461,0.9862118605821479,0.004883075220677435,0.135007
K-Nearest Neighbors,0.9896602658788775,0.979381443298969,0.979381443298969,0.979381443298969,0.979381443298969,0.01027882257990842,0.140002
