,Time,Height,Resultant_acceleration,Resultant_velocity,AGC,classlabel
count,24450.0,24450.0,24450.0,24450.0,24450.0,24450.0
mean,127.4579754601227,3741.4881022494883,0.3293854805725971,1646.4731950920248,47.069079754601226,5.950920245398773
std,78.43643626217323,2497.238973975312,0.30852826709495124,1598.9407792965512,2.1793328727843746,2.7681268486712125
min,0.1,316.05,0.02,119.39,43.0,1.0
25%,61.2,1785.44,0.12,479.6275,46.0,4.0
50%,122.3,3195.965,0.198,951.3199999999999,47.0,6.0
75%,187.0,5156.9475,0.46,2223.7475,49.0,8.0
max,315.0,13019.06,1.584,6990.27,52.0,10.0
